epoch,train_loss,train_accuracy,"train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=22))","train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))",val_loss,val_accuracy,"val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=22))","val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))"
41,2.6717989987673754,0.2968769073486328,0.024985270589456276,0.02314132709924033,inf,2.8828118567984617,0.23020285367965698,0.0259199732583019,0.0242002897357285,inf
42,2.696424150150375,0.28897517919540405,inf,0.025246142817267784,inf,2.723865699519417,0.29706987738609314,0.01727269295065161,0.023145103746010566,inf
43,2.6958323668105906,0.3070667088031769,inf,0.0230676910804124,inf,2.669770656896908,0.41577762365341187,0.021329589523915757,0.026466309159106204,inf
44,2.6903446136472904,0.2857401669025421,0.024884619894108784,0.023780564932076656,inf,2.642743050235655,0.2533809244632721,0.01997397071628556,0.025961514371692723,inf
45,2.637556573309024,0.3223944306373596,inf,0.023601480012682884,inf,2.6332668189004274,0.2894064486026764,0.01781183877366476,0.020225208346583264,inf
46,2.6614273315189756,0.29476556181907654,0.02808112349570771,0.025069441514320823,inf,2.687682471187356,0.30608564615249634,0.017379086467489382,0.029781091841602252,inf
47,2.6648857645046307,0.27790185809135437,0.023650041611719092,0.024869935379771658,inf,2.637195413430341,0.3253944516181946,0.021480575420184386,0.022675789613774755,inf
48,2.7064888134242966,0.34906280040740967,inf,0.025642747375272567,inf,3.0155677459059413,0.38474830985069275,0.0466585223050041,0.0367268727333879,inf
49,2.831678222698538,0.32221320271492004,0.03615544935228809,0.02545441589606891,inf,2.6934071916110094,0.2747558355331421,0.02410142908030744,0.030292609705098082,inf
50,2.652373758076783,0.2862204313278198,0.025025293027469885,0.02379506601509796,inf,2.6591551861351803,0.2687077522277832,0.02960588933858733,0.02262682364677272,inf
51,2.6887087069119087,0.29734811186790466,0.02476758203780666,0.02421566253291899,inf,2.6306685995004213,0.3115326762199402,0.02452547728696609,0.021553198557213302,inf
52,2.6196434630374745,0.2982769310474396,0.024970618288614244,0.025841184076441655,inf,2.571476942352158,0.2635612189769745,0.030901533306054798,0.02584952411986745,inf
53,2.646662781051958,0.2733982503414154,0.024739755966087414,0.025142312402859128,inf,2.757443550892687,0.30000001192092896,0.019923146031483884,0.021949496498719894,inf
54,2.7428765770841266,0.29127228260040283,0.02658878773100705,0.023452687939869685,inf,2.616082659067801,0.3355371952056885,0.022205767784526643,0.026500590800146186,inf
55,2.687808397955525,0.2873123586177826,0.026605002403441467,0.02211652126361447,inf,2.5991572748210463,0.39158526062965393,0.02663704108609053,0.020349993243119115,inf
56,2.67041283570353,0.3046019375324249,0.025318028512594522,0.02392550411601499,inf,2.601340418542566,0.4389556646347046,0.039769075771066593,0.017210794460509368,inf
57,2.6601882828426597,0.28773826360702515,inf,0.02449032210247008,inf,2.694084575623458,0.20788881182670593,inf,0.01744997255487056,inf
58,2.6991750759176756,0.2901395857334137,inf,0.025462571091359958,inf,2.705581830970985,0.41243425011634827,inf,0.026689507926666984,inf
59,2.6755484936720073,0.3044750690460205,inf,0.02608320063763082,inf,2.839557978463741,0.38846731185913086,inf,0.01751682082599497,inf
60,2.707242644671771,0.27618923783302307,inf,0.02310874075201364,inf,2.669037415101672,0.34992486238479614,inf,0.02062565193001417,inf
61,2.7258660164831263,0.2853052318096161,inf,0.023786729221779428,inf,2.614852404984587,0.2695717513561249,inf,0.027156667002655333,inf
62,2.69045001195755,0.3175555467605591,inf,0.023799947458439018,inf,2.5861472468168305,0.27719759941101074,inf,0.032715106757202614,inf
63,2.6793855078524778,0.2812139093875885,inf,inf,inf,2.769096154906745,0.31209617853164673,inf,0.020455890798313732,inf
64,2.6851281562478566,0.27569082379341125,inf,0.023049406158581358,inf,2.7056051061813857,0.24984973669052124,inf,0.025562520970635237,inf
65,2.7781163189867613,0.27429988980293274,inf,0.02370432468730953,inf,3.1728704299155166,0.2279113382101059,0.028675406647602777,0.02853942336336723,inf
66,2.7031140371478393,0.2840411365032196,inf,0.02368884348962696,inf,3.1135552114434373,0.31810668110847473,inf,0.02380556746964422,inf
67,2.728852965013048,0.2895506024360657,inf,0.023909193474921448,inf,3.0223406673244986,0.23625093698501587,inf,0.023525262079319032,inf
68,2.725912966474672,0.29413124918937683,inf,0.023647602336182842,inf,3.081086957748769,0.40942901372909546,inf,0.030017824551820574,inf
69,2.740589598966484,0.2941901385784149,inf,0.024907873494199904,inf,2.8287382431272037,0.37238916754722595,inf,0.022202281390919405,inf
70,2.8543803638153546,0.28521913290023804,inf,0.026000579456304202,inf,3.4099698107557286,0.37761083245277405,inf,0.02548538536584678,inf
71,2.7141265522512454,0.2969403564929962,inf,0.023203279355135036,inf,3.030866261555769,0.40308040380477905,inf,0.024481941489794493,inf
72,2.6878884179183973,0.281861811876297,inf,0.023226804771536297,inf,2.6562316073606325,0.35803908109664917,inf,0.027222431552965647,inf
73,2.6720791204353143,0.2884224057197571,inf,0.023532902890397684,inf,2.650060229843095,0.30116453766822815,inf,0.024362807605355818,inf
74,2.7292839331827516,0.28545019030570984,inf,0.025588304359508183,inf,3.2856013848876144,0.401878297328949,inf,0.024068253380911692,inf
75,2.6975523216816506,0.30749714374542236,inf,0.025101824582892715,inf,3.356559483250239,0.29335087537765503,inf,0.020834773437406744,inf
76,2.740117022070993,0.2779381275177002,inf,0.024663686729545567,inf,2.972543523737709,0.2526671588420868,inf,0.01975762306778735,inf
77,2.763212960333207,0.2749115228652954,inf,0.02339013725766845,inf,2.9438616195436147,0.277385413646698,inf,0.02208574406512372,inf
78,2.6900487744400934,0.2898314893245697,inf,0.020843898866292523,inf,2.9827146760090577,0.35135236382484436,inf,0.011634438342042695,inf
79,2.690420110053885,0.27655622363090515,inf,0.0237887526938562,inf,2.6756704095600936,0.3388429880142212,inf,0.028429318785758488,inf
80,2.6857123003105503,0.27686432003974915,inf,0.02583503349654733,inf,2.683997555469759,0.31882044672966003,inf,0.01628003546625171,inf
81,2.673398546376764,0.306201308965683,inf,0.0229335427455044,inf,2.986112886406007,0.20661157369613647,inf,0.019623018749986013,inf
82,2.7656400352461494,0.2724422514438629,inf,0.025551810124756467,inf,2.8665012432694716,0.21686701476573944,inf,0.021943125859574565,inf
83,2.76190633457817,0.2740597426891327,inf,0.025060246650964714,inf,2.8187900342548002,0.28842976689338684,inf,0.024204544660423984,inf
84,2.772657584053127,0.3016342520713806,inf,0.025570481335243415,inf,2.8740470872634423,0.24489106237888336,inf,0.021367581770381824,inf
85,2.7710456558192416,0.29847627878189087,inf,0.02528276977754047,inf,2.7959748144890875,0.26187077164649963,inf,0.023022327831084717,inf
86,2.7501698732836677,0.2896321415901184,inf,0.025010110291406228,inf,2.7460870398283572,0.26033058762550354,inf,0.025325798824418128,inf
87,2.7050839632238795,0.2927674651145935,inf,0.02347447494345051,inf,2.7537456095619706,0.2725770175457001,inf,0.03202312096463896,inf
88,2.682688987589418,0.3045702278614044,inf,0.02413813390776448,inf,2.800624151305778,0.3372652232646942,inf,0.02433115111861728,inf
89,2.6917229141528547,0.31900539994239807,inf,0.025432193503587976,inf,2.9877417997560243,0.42787379026412964,inf,0.028324393665089327,inf
90,2.9037648994904752,0.3213614225387573,inf,0.026198684480313483,inf,3.038800007769932,0.2586776912212372,inf,0.02564105976620551,inf
91,2.964067051792095,0.3212345540523529,inf,0.02820593487033303,inf,2.834615870296374,0.33339592814445496,inf,0.023973923042769466,inf
92,2.8197315205889466,0.3243653476238251,inf,0.03140963942356239,inf,3.0457405800082413,0.33452290296554565,inf,0.028938593073962206,inf
93,2.9752390578654446,0.3498375713825226,inf,0.026989222347184094,inf,3.2448589783167883,0.39335086941719055,inf,0.027907623053507736,inf
94,2.970812730847994,0.31609660387039185,inf,0.025431736365739248,inf,3.300821458013841,0.30796393752098083,inf,0.02675713684105345,inf
95,2.8106499554073747,0.3456057906150818,inf,0.02727832085014312,inf,3.6736860679943186,0.413824200630188,inf,0.021645100267904237,inf
96,2.8354948505411,0.3465617895126343,inf,0.025915774020097444,inf,3.5755900479471094,0.3947407901287079,inf,0.019175912516093418,inf
97,2.8339994428986657,0.3047650456428528,inf,0.025938995201729556,inf,4.002895625577857,0.26262208819389343,inf,0.028287773190608365,inf
98,2.71052567091873,0.2970128357410431,inf,0.025332365214557086,inf,3.9694042230887434,0.2953042685985565,inf,0.030584254457897773,inf
99,2.7478118131157867,0.3147781491279602,inf,0.024636501591371162,inf,3.9657948694757454,0.2473703920841217,inf,0.018438746311721044,inf
100,2.6975562182409956,0.3031792640686035,inf,0.02382998309808174,inf,3.89389728983792,0.36506387591362,inf,0.026472151780328832,inf
