epoch,train_loss,train_accuracy,"train_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_ChainPrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=5))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=1))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=2))",val_loss,val_accuracy,"val_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_ChainPrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=5))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=1))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=2))"
69,0.33218545515838765,0.7027870416641235,inf,inf,0.3899447784245571,inf,inf,0.26752937181252184,0.6935483813285828,inf,inf,0.34830202566129026,inf,inf
70,0.30774516535261387,0.7081382274627686,inf,inf,0.3586989078566293,inf,inf,0.2660771794269018,0.6863799095153809,inf,inf,0.3852101575548404,inf,inf
71,0.3209317745118637,0.7068004608154297,inf,inf,0.3760413399366575,inf,inf,0.26781429420007724,0.6935483813285828,inf,inf,0.40938546724408587,inf,inf
72,0.3213092907523371,0.6965440511703491,inf,inf,0.40564060656823847,inf,inf,0.26759173536551334,0.6953405141830444,inf,inf,0.3989176883875767,inf,inf
73,0.3025536865265779,0.7025641202926636,inf,inf,inf,inf,inf,0.2666986737852899,0.725806474685669,inf,inf,0.4343341488704503,inf,inf
74,0.31168725239287054,0.6981047987937927,inf,inf,0.37505984473451276,inf,inf,0.26669677249460577,0.6935483813285828,inf,inf,0.43047802470554813,inf,inf
75,0.3310450277700324,0.7007803916931152,inf,inf,0.36616724562422137,inf,inf,0.2680186988594376,0.6935483813285828,inf,inf,0.41656466510808354,inf,inf
76,0.2895231034832998,0.6998885273933411,inf,inf,0.37656335852970585,inf,inf,0.2667432898812205,0.6935483813285828,inf,inf,0.40381434253443066,inf,inf
77,0.2985744847367718,0.7021181583404541,inf,inf,0.4283262530219889,inf,inf,0.2649701850436558,0.684587836265564,inf,inf,0.42434028375928645,inf,inf
78,0.3131915663464743,0.7041248679161072,inf,inf,0.3827502008910491,inf,inf,0.2661833449432226,0.6935483813285828,inf,inf,0.41884364368759586,inf,inf
79,0.31790429305842266,0.7030100226402283,inf,inf,0.37866517873567956,inf,inf,0.26727723608785703,0.6953405141830444,inf,inf,0.44609230255412163,inf,inf
80,0.3176835416903214,0.7068004608154297,inf,inf,0.4146837881792372,inf,inf,0.2679315627526457,0.6953405141830444,inf,inf,0.4224270704750703,inf,inf
81,0.31864419371481534,0.6974359154701233,inf,inf,0.38494982062099137,inf,inf,0.26706065241003707,0.6953405141830444,inf,inf,0.4059308577920789,inf,inf
82,0.3152305679874512,0.7045707702636719,inf,inf,0.37567901611328125,inf,inf,0.26902144092404956,0.7329748868942261,inf,inf,0.4725570054811852,inf,inf
83,0.31926485655881537,0.7005574107170105,inf,inf,inf,inf,inf,0.2680395672741894,0.6935483813285828,inf,inf,0.47464730806439837,inf,inf
84,0.3179010305832201,0.71192866563797,inf,inf,0.3959031756793227,inf,inf,0.26591184637813925,0.7347670197486877,inf,inf,0.4121657933030173,inf,inf
85,0.31604398505666476,0.7063544988632202,inf,inf,inf,inf,inf,0.2672603268907449,0.6953405141830444,inf,inf,0.42498921902380254,inf,inf
86,0.31042565743517236,0.7036789059638977,inf,inf,0.3515970734792335,inf,inf,0.26868083300156015,0.7132616639137268,inf,inf,0.47593195193281795,inf,inf
87,0.3235387197982903,0.708584189414978,inf,inf,0.4162572783844493,inf,inf,0.2659771864032634,0.6953405141830444,inf,inf,0.394513326270558,inf,inf
88,0.3132113357396605,0.697881817817688,inf,inf,inf,inf,inf,0.2662103700791007,0.6953405141830444,inf,inf,0.4191136672118,inf,inf
89,0.31053539360742843,0.708807110786438,inf,inf,inf,inf,inf,0.2677676967719448,0.6917562484741211,inf,inf,0.4864245174087097,inf,inf
90,0.3192028614788133,0.7047937512397766,inf,inf,0.4069294093925262,inf,inf,0.26689430552526056,0.6917562484741211,inf,inf,0.45055762852463765,inf,inf
91,0.3207869836668893,0.7034559845924377,inf,inf,0.3940189859577429,inf,inf,0.26561479966774165,0.6953405141830444,inf,inf,0.4294552401961567,inf,inf
92,0.3105344006652448,0.7041248679161072,inf,inf,0.38814306593386927,inf,inf,0.26696421488005423,0.7329748868942261,inf,inf,0.48890247523227587,inf,inf
93,0.30252268351396877,0.7005574107170105,inf,inf,inf,inf,inf,0.268455116339376,0.7347670197486877,inf,inf,0.47483045809736873,inf,inf
94,0.30119517246896627,0.7025641202926636,inf,inf,0.4014233684985437,inf,inf,0.26751252949655613,0.6935483813285828,inf,inf,0.45514724410582924,inf,inf
95,0.3032507230832337,0.6998885273933411,inf,inf,0.39385949172706247,inf,inf,0.2672682968185884,0.6935483813285828,inf,inf,inf,inf,inf
96,0.3229542856091616,0.7036789059638977,inf,inf,inf,inf,inf,0.2681358509879803,0.6935483813285828,inf,inf,0.4639618508169584,inf,inf
97,0.30074118474219863,0.7030100226402283,inf,inf,inf,inf,inf,0.26732982263386806,0.7240143418312073,inf,inf,0.48841402463823835,inf,inf
98,0.30877495413237016,0.7023411393165588,inf,inf,inf,inf,inf,0.26618825242132227,0.6917562484741211,inf,inf,0.4791957908701674,inf,inf
99,0.3216367821539883,0.6969899535179138,inf,inf,0.38732077418086686,inf,inf,0.2644534633259907,0.7365591526031494,inf,inf,0.4402260735770252,inf,inf
100,0.3209793945844068,0.7112597823143005,inf,inf,inf,inf,inf,0.268159393725969,0.7329748868942261,inf,inf,0.47766126650516116,inf,inf
