epoch,train_loss,train_accuracy,"train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))","train_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))","train_ChainResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))",val_loss,val_accuracy,"val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))","val_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))","val_ChainResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))"
63,0.6573400542553928,0.4116401970386505,inf,inf,inf,inf,0.6749421863092316,0.4148148000240326,inf,inf,inf,inf
64,0.6584932565689087,0.40939152240753174,inf,inf,inf,inf,0.6786265969276428,0.4243386387825012,1.6773821936713325,inf,inf,inf
65,0.6539057059316999,0.4099867641925812,inf,inf,inf,inf,0.6750393193629053,0.4105820059776306,inf,2.071841006808811,inf,inf
66,0.6588166756141517,0.40522485971450806,inf,inf,inf,inf,0.6755130714840359,0.42116403579711914,inf,inf,inf,inf
67,0.655112236769249,0.4095238149166107,inf,inf,inf,inf,0.6726458526319927,0.42486771941185,inf,2.13354975382487,inf,inf
68,0.6548971677405967,0.40436509251594543,inf,inf,inf,inf,0.6740250322553847,0.4148148000240326,1.6201422797309029,inf,inf,inf
69,0.6568532683990068,0.40826719999313354,inf,inf,inf,inf,0.6786960389879014,0.42116403579711914,1.948103035820855,inf,inf,inf
70,0.6531584811396897,0.4097222089767456,inf,inf,inf,inf,0.6717016804549429,0.42116403579711914,inf,inf,inf,inf
71,0.6542696070650386,0.40648147463798523,inf,inf,inf,inf,0.6764615241024229,0.4216931164264679,inf,inf,inf,inf
72,0.658006179301689,0.4089947044849396,inf,inf,inf,inf,0.6716247027119001,0.42222222685813904,inf,inf,inf,inf
73,0.6516911286136342,0.4117063581943512,inf,inf,inf,inf,0.6769354893101587,0.42592594027519226,inf,inf,inf,inf
74,0.6526809389754716,0.4078703820705414,inf,inf,inf,inf,0.6725265132884185,0.40846559405326843,inf,inf,inf,inf
75,0.6552983539075488,0.40833333134651184,inf,inf,inf,inf,0.6757937057150735,0.42592594027519226,inf,inf,inf,inf
76,0.6547302626487281,0.4056217074394226,inf,inf,inf,inf,0.6702995404601098,0.4253968298435211,inf,inf,inf,inf
77,0.6519823592311392,0.41124337911605835,inf,inf,inf,inf,0.671653317908446,0.41534391045570374,inf,inf,inf,inf
78,0.6497498360876408,0.41031745076179504,inf,inf,inf,inf,0.6693663726250331,0.42328041791915894,1.7483033498128255,inf,inf,inf
79,0.6561704407756527,0.4097222089767456,inf,inf,inf,inf,0.6732920875151952,0.4253968298435211,inf,inf,inf,inf
80,0.6490981716662645,0.4115079343318939,inf,inf,inf,inf,0.6694204356935289,0.4185185134410858,inf,inf,inf,inf
81,0.6482988828793168,0.4086640179157257,inf,inf,inf,inf,0.667976764175627,0.4238095283508301,inf,inf,inf,inf
82,0.6540886762189783,0.4048941731452942,inf,inf,inf,inf,0.6681208139492406,0.42486771941185,1.756987296210395,inf,inf,inf
83,0.6498433791928822,0.40833333134651184,inf,inf,inf,inf,0.669075686401791,0.41111111640930176,inf,inf,inf,inf
84,0.6504621496165378,0.4058201014995575,inf,inf,inf,inf,0.684863629606035,0.4185185134410858,inf,inf,inf,inf
85,0.6476260049372083,0.410449743270874,inf,inf,inf,inf,0.6784235282076729,0.40634921193122864,inf,inf,inf,inf
86,0.6510849841508186,0.4115079343318939,inf,inf,inf,inf,0.66792608872056,0.42328041791915894,inf,inf,inf,inf
87,0.6493285841308534,0.40806877613067627,inf,inf,inf,inf,0.6799233896864785,0.42698413133621216,inf,inf,inf,inf
88,0.6491797625759823,0.408730149269104,inf,inf,inf,inf,0.6670022649069627,0.4296296238899231,1.7439214494493274,inf,inf,inf
89,0.6492594953522914,0.410449743270874,inf,inf,inf,inf,0.667148539589511,0.42910054326057434,inf,inf,inf,inf
90,0.646969396310548,0.4136243462562561,inf,inf,inf,inf,0.6686734716097514,0.42698413133621216,inf,inf,inf,inf
91,0.6520964481195228,0.4095238149166107,inf,inf,inf,inf,0.6663440797891882,0.42592594027519226,1.757773462931315,inf,inf,inf
92,0.6476568962447345,0.4085317552089691,inf,inf,inf,inf,0.6680290963914659,0.42222222685813904,inf,inf,inf,inf
93,0.6453999263027476,0.41203704476356506,inf,inf,inf,inf,0.6762688527504603,0.4174603223800659,inf,inf,inf,inf
94,0.6466859640087932,0.41435185074806213,inf,inf,inf,inf,0.6660310427347819,0.4253968298435211,1.7627058241102431,inf,inf,inf
95,0.6445462034342604,0.4157407283782959,inf,inf,inf,inf,0.6649409658379025,0.426455020904541,inf,inf,inf,inf
96,0.6494389736662722,0.40939152240753174,inf,inf,inf,inf,0.6674544071157773,0.426455020904541,inf,inf,inf,inf
97,0.6456061895781507,0.41706350445747375,inf,inf,inf,inf,0.6659941688593891,0.4253968298435211,inf,inf,inf,inf
98,0.6428669441957027,0.41342592239379883,inf,inf,inf,inf,0.6635320415099462,0.4238095283508301,inf,inf,inf,inf
99,0.6482082384431528,0.408862441778183,inf,inf,inf,inf,0.6638694938686159,0.41534391045570374,1.8481494055853949,inf,inf,inf
100,0.6436194417894714,0.4148809611797333,inf,inf,inf,inf,0.6660654207070669,0.42486771941185,inf,inf,inf,inf
