epoch,train_loss,train_accuracy,"train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","train_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))",val_loss,val_accuracy,"val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","val_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))"
57,0.7034849899820983,0.40324074029922485,inf,0.007014381885528565,inf,inf,inf,0.7252947341236803,0.4195767343044281,inf,0.013223817613389756,inf,inf,inf
58,0.708687936162783,0.3999338746070862,inf,0.021338837014304265,inf,inf,inf,0.730875891364283,0.4105820059776306,inf,0.06255917019314236,inf,inf,inf
59,0.7034309489445554,0.40906083583831787,inf,0.012144088745117188,inf,inf,inf,0.7238836142751905,0.43121692538261414,inf,0.006886418660481771,inf,inf,inf
60,0.7069284564815461,0.39933863282203674,inf,0.010625488228268094,inf,inf,inf,0.7257929849955771,0.41428571939468384,inf,0.014273765352037218,inf,inf,inf
61,0.7025364901456568,0.40826719999313354,inf,0.015008298556009929,inf,inf,inf,0.7253824590808815,0.42486771941185,inf,0.057080247667100695,inf,inf,inf
62,0.7046737521369424,0.40912699699401855,inf,0.015221819612714979,inf,inf,inf,0.7232663323481877,0.4174603223800659,inf,0.029814624786376955,inf,inf,inf
63,0.7020205484910144,0.40324074029922485,inf,0.028116371234258017,inf,inf,inf,0.7230522860255506,0.41111111640930176,inf,0.014531299802992078,inf,inf,inf
64,0.7018105634488165,0.4065476059913635,inf,0.007042312622070312,inf,inf,inf,0.7210356096426646,0.4238095283508301,inf,0.008034420013427735,inf,inf,inf
65,0.7012194102836979,0.40806877613067627,inf,0.01799114876323276,inf,inf,inf,0.7256812549299664,0.4068782925605774,inf,0.03468123541937934,inf,inf,inf
66,0.7016445978958573,0.408862441778183,inf,0.01978888511657715,inf,inf,inf,0.7204179849889544,0.4333333373069763,inf,0.02763663397894965,inf,inf,inf
67,0.705407357091705,0.40132275223731995,inf,0.01764936281575097,inf,inf,inf,0.7273032339910667,0.40317460894584656,inf,0.0738557391696506,inf,inf,inf
68,0.7009380989914967,0.40403440594673157,inf,0.016164809465408325,inf,inf,inf,0.7245487075299024,0.4010581970214844,inf,0.012861972384982639,inf,inf,inf
69,0.7005133996251971,0.40608465671539307,inf,0.029648776849110922,inf,inf,inf,0.7197884346461958,0.426455020904541,inf,0.002737818823920356,inf,inf,inf
70,0.7013632055113299,0.4077380895614624,inf,0.024738681978649563,inf,inf,inf,0.7195971238530344,0.4306878447532654,inf,0.00958342022365994,inf,inf,inf
71,0.7009530139310907,0.40403440594673157,inf,0.029924515883127847,inf,inf,inf,0.7187547207292583,0.4285714328289032,inf,0.062222735087076826,inf,inf,inf
72,0.6992041488540255,0.4056878387928009,inf,0.019273266527387832,inf,inf,inf,0.7187202011131578,0.42698413133621216,inf,0.046916092766655815,inf,inf,inf
73,0.7009135812986642,0.41104498505592346,inf,0.03259603844748603,inf,inf,inf,0.7225884921434853,0.40529099106788635,inf,0.10301247967614068,inf,inf,inf
74,0.6963725952948961,0.41111111640930176,inf,0.0160352713531918,inf,inf,inf,0.7175070924477445,0.4285714328289032,inf,0.09852359029981825,inf,inf,2.178553432888455
