epoch,train_loss,train_accuracy,"train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=2))","train_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=3))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=5, count=1))",val_loss,val_accuracy,"val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=2))","val_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=3))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=5, count=1))"
91,0.4854285731430977,0.25,0.027988242981591735,0.3459838161241826,0.16473438414936356,0.04633207282712383,0.7119492250117095,0.23051947355270386,0.030387580495428394,0.377463656502801,0.3748287820332759,0.055184845988814894
92,0.475214323487468,0.2582608759403229,0.036393765885072975,0.3566383643547019,0.19535450994057646,0.04812133221148635,0.7040980798569886,0.23701298236846924,0.04771745718411497,0.4617747229498786,0.30944864915029424,0.0629159232249131
93,0.4994526151536074,0.2573913037776947,0.04031310917363709,0.3251616683597273,0.17094465892869468,0.05156253887963416,0.7006874612054309,0.24025973677635193,0.03896298108471406,0.4470655209309346,0.3679129799475541,0.05329806619399303
94,0.47708085983839826,0.26347824931144714,0.043547745597989934,0.3485385072251532,0.18452098231971364,0.04894999615810116,0.7089535680574339,0.23701298236846924,0.03608643545492275,0.48030906110196503,0.3862191774957889,0.050496599964193395
95,0.47303375558760047,0.2647826075553894,0.036238650641133706,0.3378618900966159,0.17928667647324514,0.04790243076347131,0.7102466602180455,0.22727273404598236,0.027860265527222608,0.4045474078204181,0.30946774176649144,0.04231765866279602
96,0.48659602394533075,0.2460869550704956,0.02846192587514887,0.33404928476174944,0.1681071445472374,0.04184326929228415,0.710021939632055,0.22727273404598236,0.023220145017714112,0.4188812810021478,0.3264211957921853,0.04856524958803847
97,0.48257082972694537,0.24826087057590485,0.0348234153107593,0.3409060962333744,0.1611828372919701,0.04376016316875335,0.7176653913952209,0.2175324708223343,0.03602605826548628,0.4409621728433145,0.2930272231633599,0.04038611618248192
98,0.49657106839740217,0.23043477535247803,0.03085970338465605,0.33357984869913254,0.1463281839124618,0.044192545128597265,0.711840309202671,0.23376622796058655,0.027104427685608733,0.46060113649110535,0.31487513393969147,0.04466167938064884
99,0.47035601398637217,0.2460869550704956,0.030501841916900335,0.3784064906562326,0.17672719134742013,0.039631870434523035,0.7115553138223855,0.23376622796058655,0.04114035124311576,0.3942366935111381,0.3350260122805028,0.04949178445983578
100,0.4819994575655521,0.24304348230361938,0.03547359524841827,0.32920139795248293,0.16356471317530893,0.04521694824934411,0.7060087675581107,0.23701298236846924,0.03335912465243726,0.37622915087519465,0.41983934028728587,0.057007468230015526
