epoch,train_loss,train_accuracy,"train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=5))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))",val_loss,val_accuracy,"val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=5))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))"
82,0.696200422083752,0.39841270446777344,0.056674554612901475,0.07036595327986611,0.2026083250840505,0.7154321596854263,0.41216930747032166,0.05519081221686469,0.050528637568155926,0.1950408034854465
83,0.6935074579850253,0.40343916416168213,0.050423227085007565,0.07280539870262145,0.2073786311679416,0.714398755133152,0.40634921193122864,0.022876469294230144,0.026787948608398438,0.20475227567884657
84,0.6957201711212595,0.39933863282203674,0.05855897267659505,0.06938817087146971,0.21455783976448906,0.7143769454624918,0.40423280000686646,0.12246445284949409,0.14599073992835152,0.3579485257466634
85,0.6894492234827744,0.4094576835632324,0.04927229632933935,0.06375384711556964,0.23418431480725607,0.7117492146376106,0.4058201014995575,0.09931154251098633,0.10587328804863824,0.28883130815294056
86,0.6943575975847327,0.40218254923820496,0.05882523755232493,0.07261579698986477,0.2067615416314867,0.7116316151701741,0.3947089910507202,0.09069714016384549,0.0985894415113661,0.2920531802707248
87,0.6904116859711292,0.4007936418056488,0.05716637240515815,0.05742526153723399,0.22008630534013113,0.7111134532425138,0.39947089552879333,0.08563457859887016,0.11152742438846164,0.2651250574323866
88,0.6959853278033228,0.40502646565437317,0.0586408578687244,0.07411107867956161,0.21257180803351933,0.7133067769308885,0.40317460894584656,0.05577006075117323,0.06202792326609294,0.2667603810628255
89,0.6895351477743437,0.40542328357696533,0.06689118213123746,0.078691718644566,0.21698841585053338,0.7124843374722534,0.4026454985141754,0.07244758341047498,0.07740868197547066,0.28072361416286895
90,0.6972054324940675,0.40125662088394165,0.0594182593954934,0.07082713378800286,0.20811959869331784,0.7118242227368885,0.40529099106788635,0.1091379033194648,0.08862214618259007,0.32048656675550674
91,0.6864920472674486,0.40337300300598145,0.05373697976271311,0.0679308080010944,0.26356276538636947,0.7111492498881287,0.4010581970214844,0.10948690308464898,0.09805757204691569,0.31507239871554904
92,0.6945889066956523,0.4045634865760803,0.05531361268626319,0.07108253836631775,0.23251044021712408,0.7129096012148592,0.4158730208873749,0.0733080784479777,0.05231616761949327,0.1989674939049615
93,0.690899630015095,0.4059523940086365,0.061814120080735946,0.07113167676660749,0.24663462705082365,0.7153450650887356,0.40740740299224854,0.13653509087032742,0.13788856400383842,0.3203282886081272
94,0.6881679500918836,0.40740740299224854,0.052923204832606846,0.057270632187525435,0.24353436165385775,0.7107879613008764,0.4047619104385376,0.07951999240451389,0.07776468594868978,0.3017375628153483
95,0.6904785095507072,0.40542328357696533,0.06208694378534953,0.0774257759253184,0.24590488274892172,0.7110765957170062,0.3989417850971222,0.12272458341386583,0.1385214116838243,0.3157617251078288
96,0.689059814883189,0.4119047522544861,0.05388828234540092,0.06315399143430922,0.22703416413731045,0.7102301532195674,0.4126984179019928,0.09778371122148302,0.09206452237235176,0.30764586130777993
97,0.6900006440312912,0.40648147463798523,0.06502256674898996,0.07129166821638742,0.22130782736672294,0.7110145293176174,0.4068782925605774,0.11106129752265083,0.10113239288330078,0.37280524571736656
98,0.690788708653094,0.40542328357696533,0.06175918463203642,0.06809890369574229,0.22495161493619284,0.7095835617432992,0.4037036895751953,0.11568990548451742,0.1197268459531996,0.3289301978217231
99,0.6885082250331632,0.40416666865348816,0.06686773051818212,0.06731221328179042,0.22787196901109483,0.7111293347345458,0.40317460894584656,0.08385954962836371,0.0747713327407837,0.2671406798892551
100,0.6922567741919516,0.4066137671470642,0.07054805755615234,0.0753365417321523,0.2503539674811893,0.7091454709569613,0.4116401970386505,0.13153210745917426,0.13752162191602918,0.3418736033969455
