epoch,train_loss,train_accuracy,"train_NotSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","train_CoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_RespondedExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))",val_loss,val_accuracy,"val_NotSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","val_CoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_RespondedExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))"
85,0.7397765750893288,0.38154762983322144,0.010030473603142633,0.0045170446236928305,0.003577073746257358,0.0,0.7845911819073889,0.36878305673599243,0.010810555352105036,0.0,0.014307398266262478,0.0
86,0.7275841280611025,0.37751322984695435,0.006377666526370578,0.0004995644092559814,0.0027303596337636313,0.0,0.7421532819668452,0.4000000059604645,0.0009423997667100695,0.008967256546020508,0.012218183941311307,0.0
87,0.7164834620844986,0.3900793790817261,0.003481513261795044,0.00545752313401964,0.006009679370456272,0.0,0.7385907977819443,0.3920634984970093,0.003840552435980903,0.03746249940660265,0.0189727783203125,0.0
88,0.721246334641344,0.3800264596939087,0.0012360559569464789,0.0025342606835895114,0.012118751141760085,0.0,0.7398196753528383,0.38465607166290283,0.000926971435546875,0.0007424248589409723,0.013713338640001085,0.0
89,0.7188715914471282,0.3878968358039856,0.0028188553121354844,0.0007586335142453511,0.003096881839964125,0.0,0.7745470032095909,0.34761905670166016,0.00020760430230034723,0.010125382741292318,0.007914601431952582,0.0
90,0.714850436627037,0.3898148238658905,0.0018265975846184625,0.001787047584851583,0.006802195807298025,0.0,0.737457762989733,0.4047619104385376,0.0016265763176812067,6.548563639322916e-06,0.0,0.0
91,0.7083805764507917,0.39259257912635803,0.0037670387162102594,0.008870548009872437,0.0050685402419832016,0.0,0.7313507292005751,0.39259257912635803,0.0024498621622721355,0.0,0.014364073011610244,0.0
92,0.711581611012419,0.39060845971107483,0.0020558862222565546,0.006111332443025377,0.0015743795368406508,0.0,0.731977361937364,0.3888888955116272,0.00026868184407552085,0.00056304931640625,0.03382952478196886,0.0
93,0.7108456846533551,0.3920634984970093,0.003514164520634545,0.0010029908683564929,0.007651987671852112,0.0,0.7283820271492004,0.3936507999897003,0.0027119318644205728,0.00027258131239149303,0.0012155108981662327,0.0
94,0.7290704782845245,0.3837963044643402,0.006607786979940203,0.009061493476231893,0.004219473401705424,0.0,0.7439324726661046,0.3957671821117401,6.506178114149306e-05,0.011968564987182618,0.0,0.0
95,0.7062208387793766,0.3988095223903656,0.004937005043029785,0.007154246171315511,0.0010195887751049465,0.0,0.76367097430759,0.36560845375061035,0.00013114081488715279,3.178914388020833e-08,0.014011520809597439,0.0
96,0.7074303372452656,0.39914020895957947,0.002240656150711907,0.0032343314753638373,0.008253402180141874,0.0,0.7424461765421762,0.3830687701702118,0.00039028591579861113,0.0,0.0001918580796983507,0.0
97,0.7300740937391917,0.3848544955253601,0.0038822147581312394,0.0054959545532862345,0.006142230166329278,0.0,0.735970033870803,0.3888888955116272,0.00034847259521484373,8.752610948350694e-06,0.011178233888414171,0.0
98,0.7294092419660754,0.3806878328323364,0.0007574849658542209,0.004025953014691671,0.012462499406602648,0.0,0.841086048550076,0.35185185074806213,0.0,0.0,0.00011454688178168403,0.0
99,0.7420614083607991,0.37559524178504944,0.008405664894315932,0.005930965807702806,0.005776704682244195,0.0,0.791497642132971,0.3539682626724243,0.00011516147189670139,0.00985675917731391,0.0,0.0
100,0.7141062343907025,0.3857804238796234,0.002734671698676215,0.004342495070563422,0.003078695469432407,0.0,0.7357411394516628,0.39735448360443115,0.0001499599880642361,0.002775785658094618,0.007731543646918403,0.0
